"Name","padel_CrippenLogP","padel_nBase","padel_XLogP","padel_AATS1v","padel_AATS0i","padel_ETA_EtaP_F","padel_ZMIC2","padel_maxHBa","padel_minsssN","padel_AATS1i","padel_ETA_dEpsilon_B","padel_GATS1i","padel_ZMIC1","padel_SsssN","padel_nAromBond","padel_AATSC0p","padel_minHBd","padel_LipoaffinityIndex","padel_AATS3v","padel_AATS2i","padel_C2SP2","padel_AATS4v","padel_Kier2","padel_AATS6m","padel_AATS6v","padel_minssCH2","Opera_LogP","Opera_LogWS","Opera_LogBCF","Opera_LogKM"
"DTXSID70880230",1.3022,0,1.447,245.909291827607,191.26128818495,0.56383,28.147841924222,12.1013879440665,0,156.51374695416,0,1.13453207137881,37.5426795282957,0,0,0.22059587172376,0,3.4380894212963,145.7771674302,180.78938371422,0,131.323052578956,3.80622837370242,84.4385573953333,137.648579955618,-1.24550925925926,0.687959481431086,-0.577988800568767,0.50207082279232,-0.797137846883362
"DTXSID80375107",6.894,0,9.736,304.497873785196,237.012245930135,1.57643,124.03581532359,13.3533769132653,0,172.415462601235,0,1.4357448588289,126.495923617236,0,0,0.256041936061599,0.846541950113379,15.3976715416251,228.667152760866,202.988195533017,0,227.77686950401,9.01314323902874,250.749174855876,223.056645791231,-3.69383675525112,5.13103553604128,-5.46637454084399,2.34761158457921,0.477622363915124
"DTXSID80382093",0.7583,1,1.743,259.206200197257,225.225080856803,0.84372,39.8873493297064,11.234375,0,179.090202567212,0,1.45217362040836,39.8873493297064,0,0,0.192058721061311,0.859722222222222,5.08241666666667,185.261689057138,209.156752233089,0,103.133324587142,2.5,0,0,0,1.07116275005135,-0.872646199645333,0.427306328247898,-1.15963043707812
"DTXSID8062101",6.66528,0,8.664,284.831142884768,213.588089103887,1.393,95.9348624311636,13.4809863551902,0,163.288449268807,0.03645,1.18459382417026,109.783156774168,0,0,0.253371088218908,0,13.7251247833353,213.012092259334,190.112371486147,0,195.585171488674,9.46506617420745,170.998961152703,191.780424586733,-2.84189968348451,5.06394114400099,-6.32069784955615,2.30939489472691,0.870067297301852
"DTXSID90190949",5.5832,0,7.934,354.831277523924,231.09356628976,0.81281,101.960790363346,12.7740075308642,0,169.661678130842,0,1.16927924073478,98.0993768771004,0,0,2.00762136,0,1.43084790492064,272.477786596174,200.443049363,0,278.736116168403,4.75,916.261233924899,310.027764029549,0,3.75385537222207,-4.07191029599572,2.57526813225605,-0.674233244635926
"DTXSID9059832",3.4203,0,4.815,285.042446224826,227.305412692062,1.1174,66.5840912626575,12.6134722222222,0,170.12577577695,0,1.34627892343295,73.2808072245922,0,0,0.241115423340139,0.851234567901235,7.6588254080058,207.442759229964,199.217492466371,0,201.738261632761,5.32525951557093,180.087466973592,174.314537628064,-3.1052380952381,3.45920245060641,-3.21226602411583,0.580774930813154,-0.428133449492053
"DTXSID90880156",6.1856,0,8.582,307.986713025975,225.633036072227,1.09319,90.4616866512583,13.0716547619048,0,167.404238755343,0,1.23090527670188,96.8129103584127,0,0,0.901774560814387,0,9.7616949193968,220.856059433786,196.427102813894,0,227.773817860405,6.55785123966942,333.339026986973,219.905557681664,-2.16258178224994,6.04271681609129,-5.01574063346373,3.22751825437293,0.113112187702518
"DTXSID7029904",5.3782,0,7.451,290.949928051523,228.436376487992,1.33102,93.9335615887525,13.107876984127,0,169.604007282898,0,1.34211407360625,100.956870469638,0,0,0.248468913359835,0.786805555555556,11.4922429756527,211.197531200498,198.312525688624,0,212.179019652863,7.3008,210.619394942875,202.554834060772,-2.82703857237339,5.70012749676168,-6.38513400354356,2.12679849982099,0.418693175812642
"DTXSID00192353",6.3545,0,7.048,302.527869408685,222.684244525246,1.42037,99.2304998253695,13.2862122071051,0,166.111175079493,0,1.28358388513543,108.792857142491,0,0,0.335238193288268,0.708227591496822,11.2402247548606,210.226892069842,193.670303240816,0,211.575446906648,8.0452806122449,230.434932941138,213.436997411257,-3.1651301361594,6.18285081292356,-3.16901629902995,1.50290988445449,0.45882211935762
"DTXSID00379268",2.91799,0,3.295,272.673229842567,209.056734357312,0.88757,40.5844736289686,12.3245138888889,0,163.770241510934,0,1.17632408672934,48.10014724519,0,0,0.231767953684187,0.850104166666667,5.53658584986773,176.026922422635,188.913791261679,0,166.358823236931,4.47258979206049,136.112747949867,162.114927886859,-2.07456018518519,3.93610039356887,-3.31491147019018,0.72594456683425,-1.05793149175305
