INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,QSAR_READY_SMILES,DTXCID
DTXSID3047558,DSSTox_Substance_Id,DTXSID3047558,2-(Perfluorohexyl)ethyl methacrylate,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID1027558
DTXSID5063235,DSSTox_Substance_Id,DTXSID5063235,(Perfluoroheptyl)methyl methacrylate,CC(=C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID2039621
DTXSID8062101,DSSTox_Substance_Id,DTXSID8062101,2-(Perfluorooctyl)ethyl methacrylate,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID5036187
DTXSID2060965,DSSTox_Substance_Id,DTXSID2060965,Heptafluorobutyramide,NC(=O)C(F)(F)C(F)(F)C(F)(F)F,DTXCID8044757
DTXSID60400587,DSSTox_Substance_Id,DTXSID60400587,Nonafluoropentanamide,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID00351443
DTXSID70366226,DSSTox_Substance_Id,DTXSID70366226,Perfluoropentanamide,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,DTXCID00317266
DTXSID80310730,DSSTox_Substance_Id,DTXSID80310730,Octafluoroadipamide,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(N)=O,DTXCID00261856
DTXSID60195123,DSSTox_Substance_Id,DTXSID60195123,Perfluorooctanamide,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID70117614
DTXSID4059914,DSSTox_Substance_Id,DTXSID4059914,3:1 Fluorotelomer alcohol,OCC(F)(F)C(F)(F)C(F)(F)F,DTXCID6039340
DTXSID40379666,DSSTox_Substance_Id,DTXSID40379666,N-Methyl-N-trimethylsilylheptafluorobutyramide,CN(C(=O)C(F)(F)C(F)(F)C(F)(F)F)[Si](C)(C)C,DTXCID00330692
DTXSID10379991,DSSTox_Substance_Id,DTXSID10379991,3-(Perfluorooctyl)propanol,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID90331017
DTXSID70381151,DSSTox_Substance_Id,DTXSID70381151,Perfluorooctanamidine,NC(=N)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID00332176
DTXSID0059871,DSSTox_Substance_Id,DTXSID0059871,Pentafluoropropionamide,NC(=O)C(F)(F)C(F)(F)F,DTXCID0039015
DTXSID10382147,DSSTox_Substance_Id,DTXSID10382147,"3-(Perfluoro-2-butyl)propane-1,2-diol",OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID20897070
DTXSID80382093,DSSTox_Substance_Id,DTXSID80382093,2-Aminohexafluoropropan-2-ol,NC(O)(C(F)(F)F)C(F)(F)F,DTXCID50333118
DTXSID20179883,DSSTox_Substance_Id,DTXSID20179883,2-(Perfluorohexyl)ethylphosphonic acid,OP(O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID80102374
DTXSID90382620,DSSTox_Substance_Id,DTXSID90382620,3-(Perfluoroheptyl)propanoic acid,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID20333645
DTXSID70379917,DSSTox_Substance_Id,DTXSID70379917,3-(Perfluorohexyl)propanoic acid,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID30330943
DTXSID30891564,DSSTox_Substance_Id,DTXSID30891564,4:2 Fluorotelomer sulfonic acid,OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID601030672
DTXSID6067331,DSSTox_Substance_Id,DTXSID6067331,6:2 Fluorotelomer sulfonic acid,OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID7037711
DTXSID70565479,DSSTox_Substance_Id,DTXSID70565479,8H-Perfluorooctanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,DTXCID80516255
DTXSID0060985,DSSTox_Substance_Id,DTXSID0060985,Hexafluoroglutaryl chloride,FC(F)(C(Cl)=O)C(F)(F)C(F)(F)C(Cl)=O,DTXCID2045024
DTXSID6027426,DSSTox_Substance_Id,DTXSID6027426,N-Ethyl-N-(2-hydroxyethyl)perfluorooctane sulfonamide,CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID507426
DTXSID50469320,DSSTox_Substance_Id,DTXSID50469320,Perfluorohexanesulfonamide,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID10420139
DTXSID80108992,DSSTox_Substance_Id,DTXSID80108992,Perfluorooctanesulfonate,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID80820526
DTXSID8031865,DSSTox_Substance_Id,DTXSID8031865,Perfluorooctanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID6011865
DTXSID8047553,DSSTox_Substance_Id,DTXSID8047553,Perfluoroundecanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID6027553
DTXSID8059928,DSSTox_Substance_Id,DTXSID8059928,Perfluorobutanedioic acid,OC(=O)C(F)(F)C(F)(F)C(O)=O,DTXCID6039392
DTXSID50184723,DSSTox_Substance_Id,DTXSID50184723,"1H,1H-Perfluorooctylamine",NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID90107214
DTXSID7060332,DSSTox_Substance_Id,DTXSID7060332,(Perfluorobutyryl)-2-thenoylmethane,FC(F)(F)C(F)(F)C(F)(F)C(=O)CC(=O)C1=CC=CS1,DTXCID9041992
DTXSID90880156,DSSTox_Substance_Id,DTXSID90880156,"1-Iodo-1H,1H,2H,2H-perfluorononane",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,DTXCID801021744
DTXSID1062122,DSSTox_Substance_Id,DTXSID1062122,Fluorotelomer alcohol 4:2,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID8036289
DTXSID00190950,DSSTox_Substance_Id,DTXSID00190950,6:1 Fluorotelomer alcohol,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID40113441
DTXSID80375107,DSSTox_Substance_Id,DTXSID80375107,11:1 Fluorotelomer alcohol,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXCID00326136
DTXSID60379269,DSSTox_Substance_Id,DTXSID60379269,3-(Perfluoropropyl)propanol,OCCCC(F)(F)C(F)(F)C(F)(F)F,DTXCID20330295
DTXSID9059832,DSSTox_Substance_Id,DTXSID9059832,"1H,1H,7H-Dodecafluoro-1-heptanol",OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,DTXCID3038696
DTXSID0059879,DSSTox_Substance_Id,DTXSID0059879,"1H,1H,5H-Perfluoropentanol",OCC(F)(F)C(F)(F)C(F)(F)C(F)F,DTXCID2039041
